Date,Series_Name,Value,Unit
2007-05-31,Nominal Effective Exchange Rate Base 2010,142.84,Index
2007-06-30,REER : Percentage Change over Month,0.213000131,Percent
2007-06-30,NEER : Percentage Change over  Month,0.203024363,Percent
2007-06-30,Real Effective Exchange Rate Base 2010,99.44027415,Index
2007-06-30,Nominal Effective Exchange Rate Base 2010,143.13,Index
2007-07-31,REER : Percentage Change over Month,0.023140515,Percent
2007-07-31,NEER : Percentage Change over  Month,-0.810452037,Percent
2007-07-31,Real Effective Exchange Rate Base 2010,99.46328514,Index
2007-07-31,Nominal Effective Exchange Rate Base 2010,141.97,Index
2007-08-31,Nominal Effective Exchange Rate Base 2010,142.22,Index
2007-08-31,NEER : Percentage Change over  Month,0.176093541,Percent
2007-08-31,REER : Percentage Change over Month,1.17919047,Percent
2007-08-31,Real Effective Exchange Rate Base 2010,100.6361467,Index
2007-09-30,NEER : Percentage Change over  Month,-1.251582056,Percent
2007-09-30,Nominal Effective Exchange Rate Base 2010,140.44,Index
2007-09-30,REER : Percentage Change over Month,0.520510589,Percent
2007-09-30,Real Effective Exchange Rate Base 2010,101.1599685,Index
2007-10-31,REER : Percentage Change over Month,-0.664997998,Percent
2007-10-31,NEER : Percentage Change over  Month,-1.381372828,Percent
2007-10-31,Real Effective Exchange Rate Base 2010,100.4872568,Index
2007-10-31,Nominal Effective Exchange Rate Base 2010,138.5,Index
2007-11-30,REER : Percentage Change over Month,-2.321308653,Percent
2007-11-30,NEER : Percentage Change over  Month,-1.985559567,Percent
2007-11-30,Real Effective Exchange Rate Base 2010,98.15463737,Index
2007-11-30,Nominal Effective Exchange Rate Base 2010,135.75,Index
2007-12-31,REER : Percentage Change over Month,0.529121441,Percent
2007-12-31,NEER : Percentage Change over  Month,0.287292818,Percent
2007-12-31,Real Effective Exchange Rate Base 2010,98.6739946,Index
2007-12-31,Nominal Effective Exchange Rate Base 2010,136.14,Index
2008-01-31,Nominal Effective Exchange Rate Base 2010,132.45,Index
2008-01-31,Real Effective Exchange Rate Base 2010,97.55563961,Index
2008-01-31,REER : Percentage Change over Month,-1.13338372,Percent
2008-01-31,NEER : Percentage Change over  Month,-2.71044513,Percent
2008-02-29,REER : Percentage Change over Month,-1.132419393,Percent
2008-02-29,NEER : Percentage Change over  Month,-0.845602114,Percent
2008-02-29,Real Effective Exchange Rate Base 2010,96.45090063,Index
2008-02-29,Nominal Effective Exchange Rate Base 2010,131.33,Index
2008-03-31,REER : Percentage Change over Month,0.216435828,Percent
2008-03-31,NEER : Percentage Change over  Month,-2.269093124,Percent
2008-03-31,Real Effective Exchange Rate Base 2010,96.65965493,Index
2008-03-31,Nominal Effective Exchange Rate Base 2010,128.35,Index
2008-04-30,REER : Percentage Change over Month,1.069849758,Percent
2008-04-30,NEER : Percentage Change over  Month,-1.402415271,Percent
2008-04-30,Real Effective Exchange Rate Base 2010,97.69376802,Index
2008-04-30,Nominal Effective Exchange Rate Base 2010,126.55,Index
2008-05-31,Nominal Effective Exchange Rate Base 2010,119.45,Index
2008-05-31,Real Effective Exchange Rate Base 2010,94.11197373,Index
2008-05-31,NEER : Percentage Change over  Month,-5.61043066,Percent
2008-05-31,REER : Percentage Change over Month,-3.666348802,Percent
2008-06-30,Nominal Effective Exchange Rate Base 2010,120.36,Index
2008-06-30,REER : Percentage Change over Month,2.296398138,Percent
2008-06-30,NEER : Percentage Change over  Month,0.761825031,Percent
2008-06-30,Real Effective Exchange Rate Base 2010,96.27315934,Index
2008-07-31,REER : Percentage Change over Month,-1.562496433,Percent
2008-07-31,NEER : Percentage Change over  Month,-5.35892323,Percent
2008-07-31,Real Effective Exchange Rate Base 2010,94.76889466,Index
2008-07-31,Nominal Effective Exchange Rate Base 2010,113.91,Index
2008-08-31,REER : Percentage Change over Month,-1.159019301,Percent
2008-08-31,NEER : Percentage Change over  Month,-2.905802827,Percent
2008-08-31,Real Effective Exchange Rate Base 2010,93.67050488,Index
2008-08-31,Nominal Effective Exchange Rate Base 2010,110.6,Index
2008-09-30,Real Effective Exchange Rate Base 2010,92.91141989,Index
2008-09-30,Nominal Effective Exchange Rate Base 2010,108.95,Index
2008-09-30,REER : Percentage Change over Month,-0.810377811,Percent
2008-09-30,NEER : Percentage Change over  Month,-1.491862568,Percent
2008-10-31,NEER : Percentage Change over  Month,-0.0826067,Percent
2008-10-31,REER : Percentage Change over Month,1.421997946,Percent
2008-10-31,Real Effective Exchange Rate Base 2010,94.23261837,Index
2008-10-31,Nominal Effective Exchange Rate Base 2010,108.86,Index
2008-11-30,Real Effective Exchange Rate Base 2010,97.26183967,Index
2008-11-30,Nominal Effective Exchange Rate Base 2010,111.85,Index
2008-11-30,REER : Percentage Change over Month,3.21462074,Percent
2008-11-30,NEER : Percentage Change over  Month,2.74664707,Percent
2008-12-31,REER : Percentage Change over Month,-0.18073771,Percent
2008-12-31,NEER : Percentage Change over  Month,-0.402324542,Percent
2008-12-31,Real Effective Exchange Rate Base 2010,97.08605085,Index
2008-12-31,Nominal Effective Exchange Rate Base 2010,111.4,Index
2009-01-31,REER : Percentage Change over Month,0.558422506,Percent
2009-01-31,NEER : Percentage Change over  Month,0.26929982,Percent
