Date,Series_Name,Value,Unit
2024-12-31,Freight & Insurance,128289.204,Thousand USD
2025-01-31,Freight & Insurance,155834.6565,Thousand USD
2025-02-28,Freight & Insurance,146774.4362,Thousand USD
2025-03-31,Freight & Insurance,143930.6671,Thousand USD
2025-04-30,Freight & Insurance,157296.5177,Thousand USD
2025-05-31,Freight & Insurance,164815.7753,Thousand USD
2025-06-30,Freight & Insurance,147213.2723,Thousand USD
2025-07-31,Freight & Insurance,156617.8306,Thousand USD
2025-08-31,Freight & Insurance,151611.2569,Thousand USD
2025-09-30,Freight & Insurance,152492.9726,Thousand USD
2003-07-31,Import payments of Agri. & Other Chemical,184280.655,Thousand USD
2003-08-31,Import payments of Agri. & Other Chemical,204907.686,Thousand USD
2003-09-30,Import payments of Agri. & Other Chemical,201844.231,Thousand USD
2003-10-31,Import payments of Agri. & Other Chemical,216845.762,Thousand USD
2003-11-30,Import payments of Agri. & Other Chemical,221513.163,Thousand USD
2003-12-31,Import payments of Agri. & Other Chemical,263903.842,Thousand USD
2004-01-31,Import payments of Agri. & Other Chemical,228669.962,Thousand USD
2004-02-29,Import payments of Agri. & Other Chemical,206808.728,Thousand USD
2004-03-31,Import payments of Agri. & Other Chemical,223246.749,Thousand USD
2004-04-30,Import payments of Agri. & Other Chemical,238674.729,Thousand USD
2004-05-31,Import payments of Agri. & Other Chemical,273307.267,Thousand USD
2004-06-30,Import payments of Agri. & Other Chemical,286581.366,Thousand USD
2004-07-31,Import payments of Agri. & Other Chemical,277306.328,Thousand USD
2004-08-31,Import payments of Agri. & Other Chemical,277512.024,Thousand USD
2004-09-30,Import payments of Agri. & Other Chemical,292503.815,Thousand USD
2004-10-31,Import payments of Agri. & Other Chemical,339823.677,Thousand USD
2004-11-30,Import payments of Agri. & Other Chemical,306181.543,Thousand USD
2004-12-31,Import payments of Agri. & Other Chemical,301536.163,Thousand USD
2005-01-31,Import payments of Agri. & Other Chemical,242630.998,Thousand USD
2005-02-28,Import payments of Agri. & Other Chemical,243374.451,Thousand USD
2005-03-31,Import payments of Agri. & Other Chemical,280762.481,Thousand USD
2005-04-30,Import payments of Agri. & Other Chemical,291996.934,Thousand USD
2005-05-31,Import payments of Agri. & Other Chemical,351984.692,Thousand USD
2005-06-30,Import payments of Agri. & Other Chemical,267567.924,Thousand USD
2005-07-31,Import payments of Agri. & Other Chemical,303648.655,Thousand USD
2005-08-31,Import payments of Agri. & Other Chemical,324792.392,Thousand USD
2005-09-30,Import payments of Agri. & Other Chemical,370160.938,Thousand USD
2005-10-31,Import payments of Agri. & Other Chemical,396882.791,Thousand USD
2005-11-30,Import payments of Agri. & Other Chemical,394036.323,Thousand USD
2005-12-31,Import payments of Agri. & Other Chemical,354020.525,Thousand USD
2006-01-31,Import payments of Agri. & Other Chemical,340669.548,Thousand USD
2006-02-28,Import payments of Agri. & Other Chemical,256957.699,Thousand USD
2006-03-31,Import payments of Agri. & Other Chemical,342592.689,Thousand USD
2006-04-30,Import payments of Agri. & Other Chemical,252599.47,Thousand USD
