"Dataset","Series Key","Series","Observation Date","Observation Value","Unit","Observation Status","Observation Status Comment"
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Aug-2017","128865.714","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Jul-2017","138540.58","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Jun-2017","67566.9","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-May-2017","37387.6","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Apr-2017","70018.74045","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Mar-2017","65605.1","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","28-Feb-2017","42348.7","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Jan-2017","29436.8","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Dec-2016","136311.8","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Nov-2016","74209.6","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Oct-2016","182216.7589","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Sep-2016","778","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Aug-2016","142623.1","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Jul-2016","-11970.8","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Jun-2016","-25715.3","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-May-2016","214038","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Apr-2016","50744.9","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Mar-2016","115361","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","29-Feb-2016","157588.3","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Jan-2016","22158.2","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Dec-2015","61158.6","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Nov-2015","85018","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Oct-2015","-25243.2","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Sep-2015","-39804.7","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Aug-2015","39794.4","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Jul-2015","-40584.6","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Jun-2015","25835.2","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-May-2015","-41710","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Apr-2015","26704.3","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Mar-2015","-75113.6","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","28-Feb-2015","-21548.6","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Jan-2015","-65042.4","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Dec-2014","81012.2","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Nov-2014","125549","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","31-Oct-2014","111025.7","Thousand USD","Normal",""
"Export Receipts by Commodities and Groups","TS_GP_BOP_XRECCG_M.EXP00740","Other Exports","30-Sep-2014","41607.1","Thousand USD","Normal",""
