"Dataset","Series Key","Series","Observation Date","Observation Value","Unit","Observation Status","Observation Status Comment"
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Dec-2016","491","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","30-Nov-2016","413","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Oct-2016","394","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","30-Sep-2016","443","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Aug-2016","435","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Jul-2016","349","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","30-Jun-2016","417","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-May-2016","361","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","30-Apr-2016","594","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Mar-2016","447","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","29-Feb-2016","351","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Jan-2016","354","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Dec-2015","444","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","30-Nov-2015","321","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Oct-2015","400","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","30-Sep-2015","711","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Aug-2015","341","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Jul-2015","715","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","30-Jun-2015","403","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-May-2015","318","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","30-Apr-2015","403","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Mar-2015","438","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","28-Feb-2015","1043","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Jan-2015","360","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Dec-2014","453","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","30-Nov-2014","310","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Oct-2014","401","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","30-Sep-2014","693","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Aug-2014","691","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Jul-2014","359","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","30-Jun-2014","373","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-May-2014","758","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","30-Apr-2014","383","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Mar-2014","382","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","28-Feb-2014","667","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Jan-2014","347","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Dec-2013","428","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","30-Nov-2013","341","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Oct-2013","671","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","30-Sep-2013","347","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Aug-2013","305","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Jul-2013","343","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","30-Jun-2013","485","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-May-2013","386","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","30-Apr-2013","421","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Mar-2013","456","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","28-Feb-2013","366","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Jan-2013","379","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Dec-2012","1224","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","30-Nov-2012","343","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Oct-2012","491","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","30-Sep-2012","323","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Aug-2012","1501","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Jul-2012","349","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","30-Jun-2012","431","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-May-2012","351","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","30-Apr-2012","350","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Mar-2012","451","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","29-Feb-2012","432","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Jan-2012","336","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","31-Dec-2011","533","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00030","Exports of Services","30-Nov-2011","398","Million USD","Normal",""
