"Dataset","Series Key","Series","Observation Date","Observation Value","Unit","Observation Status","Observation Status Comment"
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Apr-2014","2480","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Mar-2014","2474","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","28-Feb-2014","2725","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Jan-2014","2476","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Dec-2013","2755","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Nov-2013","2161","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Oct-2013","2734","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Sep-2013","2401","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Aug-2013","2314","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Jul-2013","2537","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Jun-2013","2479","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-May-2013","2644","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Apr-2013","2625","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Mar-2013","2633","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","28-Feb-2013","2296","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Jan-2013","2464","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Dec-2012","3083","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Nov-2012","2370","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Oct-2012","2608","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Sep-2012","2424","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Aug-2012","3531","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Jul-2012","2369","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Jun-2012","2482","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-May-2012","2530","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Apr-2012","2488","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Mar-2012","2593","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","29-Feb-2012","2586","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Jan-2012","2310","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Dec-2011","2589","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Nov-2011","2298","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Oct-2011","2476","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Sep-2011","2321","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Aug-2011","2550","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Jul-2011","2508","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Jun-2011","3100","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-May-2011","2647","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Apr-2011","3049","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Mar-2011","2870","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","28-Feb-2011","2633","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Jan-2011","2392","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Dec-2010","3348","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Nov-2010","2478","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Oct-2010","2260","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Sep-2010","2193","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Aug-2010","2175","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Jul-2010","1969","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Jun-2010","2191","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-May-2010","2804","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Apr-2010","2441","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Mar-2010","2145","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","28-Feb-2010","2170","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Jan-2010","1882","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","31-Dec-2009","1988","Million USD","Normal",""
"Export and Import of Goods and Services","TS_GP_BOP_XMGS_M.P00170","Exports of Goods & Services","30-Nov-2009","1766","Million USD","Normal",""
