IND_ID,IND_CODE,IND_UUID,IND_PER_CODE,DIM_TIME,DIM_TIME_TYPE,DIM_GEO_CODE_M49,DIM_GEO_CODE_TYPE,DIM_PUBLISH_STATE_CODE,IND_NAME,GEO_NAME_SHORT,RATE_PER_100000_N
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,646,COUNTRY,PUBLISHED,Road traffic deaths,Rwanda,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,659,COUNTRY,PUBLISHED,Road traffic deaths,Saint Kitts and Nevis,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,662,COUNTRY,PUBLISHED,Road traffic deaths,Saint Lucia,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,670,COUNTRY,PUBLISHED,Road traffic deaths,Saint Vincent and the Grenadines,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,674,COUNTRY,PUBLISHED,Road traffic deaths,San Marino,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,678,COUNTRY,PUBLISHED,Road traffic deaths,Sao Tome and Principe,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,682,COUNTRY,PUBLISHED,Road traffic deaths,Saudi Arabia,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,686,COUNTRY,PUBLISHED,Road traffic deaths,Senegal,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,688,COUNTRY,PUBLISHED,Road traffic deaths,Serbia,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,690,COUNTRY,PUBLISHED,Road traffic deaths,Seychelles,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,694,COUNTRY,PUBLISHED,Road traffic deaths,Sierra Leone,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,702,COUNTRY,PUBLISHED,Road traffic deaths,Singapore,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,703,COUNTRY,PUBLISHED,Road traffic deaths,Slovakia,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,704,COUNTRY,PUBLISHED,Road traffic deaths,Viet Nam,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,705,COUNTRY,PUBLISHED,Road traffic deaths,Slovenia,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,706,COUNTRY,PUBLISHED,Road traffic deaths,Somalia,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,710,COUNTRY,PUBLISHED,Road traffic deaths,South Africa,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,716,COUNTRY,PUBLISHED,Road traffic deaths,Zimbabwe,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,724,COUNTRY,PUBLISHED,Road traffic deaths,Spain,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,728,COUNTRY,PUBLISHED,Road traffic deaths,South Sudan,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,729,COUNTRY,PUBLISHED,Road traffic deaths,Sudan,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,740,COUNTRY,PUBLISHED,Road traffic deaths,Suriname,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,748,COUNTRY,PUBLISHED,Road traffic deaths,Eswatini,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,752,COUNTRY,PUBLISHED,Road traffic deaths,Sweden,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,756,COUNTRY,PUBLISHED,Road traffic deaths,Switzerland,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,760,COUNTRY,PUBLISHED,Road traffic deaths,Syrian Arab Republic,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,001,GLOBAL,PUBLISHED,Road traffic deaths,World,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,004,COUNTRY,PUBLISHED,Road traffic deaths,Afghanistan,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,008,COUNTRY,PUBLISHED,Road traffic deaths,Albania,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,012,COUNTRY,PUBLISHED,Road traffic deaths,Algeria,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,020,COUNTRY,PUBLISHED,Road traffic deaths,Andorra,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,024,COUNTRY,PUBLISHED,Road traffic deaths,Angola,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,028,COUNTRY,PUBLISHED,Road traffic deaths,Antigua and Barbuda,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,031,COUNTRY,PUBLISHED,Road traffic deaths,Azerbaijan,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,032,COUNTRY,PUBLISHED,Road traffic deaths,Argentina,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,036,COUNTRY,PUBLISHED,Road traffic deaths,Australia,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,040,COUNTRY,PUBLISHED,Road traffic deaths,Austria,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,044,COUNTRY,PUBLISHED,Road traffic deaths,Bahamas,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,048,COUNTRY,PUBLISHED,Road traffic deaths,Bahrain,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,050,COUNTRY,PUBLISHED,Road traffic deaths,Bangladesh,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,051,COUNTRY,PUBLISHED,Road traffic deaths,Armenia,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,052,COUNTRY,PUBLISHED,Road traffic deaths,Barbados,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,056,COUNTRY,PUBLISHED,Road traffic deaths,Belgium,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,064,COUNTRY,PUBLISHED,Road traffic deaths,Bhutan,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,068,COUNTRY,PUBLISHED,Road traffic deaths,Bolivia (Plurinational State of),
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,070,COUNTRY,PUBLISHED,Road traffic deaths,Bosnia and Herzegovina,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,072,COUNTRY,PUBLISHED,Road traffic deaths,Botswana,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,076,COUNTRY,PUBLISHED,Road traffic deaths,Brazil,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,084,COUNTRY,PUBLISHED,Road traffic deaths,Belize,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,090,COUNTRY,PUBLISHED,Road traffic deaths,Solomon Islands,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,096,COUNTRY,PUBLISHED,Road traffic deaths,Brunei Darussalam,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,100,COUNTRY,PUBLISHED,Road traffic deaths,Bulgaria,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,104,COUNTRY,PUBLISHED,Road traffic deaths,Myanmar,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,108,COUNTRY,PUBLISHED,Road traffic deaths,Burundi,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,112,COUNTRY,PUBLISHED,Road traffic deaths,Belarus,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,116,COUNTRY,PUBLISHED,Road traffic deaths,Cambodia,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,120,COUNTRY,PUBLISHED,Road traffic deaths,Cameroon,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,124,COUNTRY,PUBLISHED,Road traffic deaths,Canada,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,132,COUNTRY,PUBLISHED,Road traffic deaths,Cabo Verde,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,140,COUNTRY,PUBLISHED,Road traffic deaths,Central African Republic,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,144,COUNTRY,PUBLISHED,Road traffic deaths,Sri Lanka,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,148,COUNTRY,PUBLISHED,Road traffic deaths,Chad,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,152,COUNTRY,PUBLISHED,Road traffic deaths,Chile,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,156,COUNTRY,PUBLISHED,Road traffic deaths,China,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,170,COUNTRY,PUBLISHED,Road traffic deaths,Colombia,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,174,COUNTRY,PUBLISHED,Road traffic deaths,Comoros,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,178,COUNTRY,PUBLISHED,Road traffic deaths,Congo,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,180,COUNTRY,PUBLISHED,Road traffic deaths,Democratic Republic of the Congo,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,184,COUNTRY,PUBLISHED,Road traffic deaths,Cook Islands,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,188,COUNTRY,PUBLISHED,Road traffic deaths,Costa Rica,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,191,COUNTRY,PUBLISHED,Road traffic deaths,Croatia,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,192,COUNTRY,PUBLISHED,Road traffic deaths,Cuba,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,196,COUNTRY,PUBLISHED,Road traffic deaths,Cyprus,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,203,COUNTRY,PUBLISHED,Road traffic deaths,Czechia,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,204,COUNTRY,PUBLISHED,Road traffic deaths,Benin,
D6176E2RS_198,RS_198,D6176E2,RS_198,2021,YEAR,208,COUNTRY,PUBLISHED,Road traffic deaths,Denmark,
